# pid=132981 startedAt=2026-08-28T09:17:14.084738896Z
epoch	vmrss_kb	vmsize_kb	rssanon_kb	heap_virt_kb	heap_rss_kb	threads	est_tcp
1787908793	15092	136524	3180	8192	12	12	0
1787908808	15092	136524	3180	8192	12	12	0
1787908823	15092	136524	3180	8192	12	12	0
1787908838	15092	136524	3180	8192	12	12	0
1787908853	15092	136524	3180	8192	12	12	0
1787908868	15092	136524	3180	8192	12	12	0
1787908883	15092	136524	3180	8192	12	12	0
1787908898	15092	136524	3180	8192	12	12	0
1787908913	15092	136524	3180	8192	12	12	0
1787908928	15092	136524	3180	8192	12	12	0
1787908943	15092	136524	3180	8192	12	12	0
1787908958	15092	136524	3180	8192	12	12	0
1787908973	15092	136524	3180	8192	12	12	0
1787908988	15092	136524	3180	8192	12	12	0
1787909003	15092	136524	3180	8192	12	12	0
1787909018	15092	136524	3180	8192	12	12	0
1787909033	15092	136524	3180	8192	12	12	0
1787909048	15092	136524	3180	8192	12	12	0
1787909063	15092	136524	3180	8192	12	12	0
1787909078	15092	136524	3180	8192	12	12	0
1787909093	15092	136524	3180	8192	12	12	0
1787909108	15092	136524	3180	8192	12	12	0
1787909123	21200	177228	7340	14848	720	13	74
1787909138	33316	185036	19328	21504	10876	13	825
1787909153	45032	199756	30984	21504	13900	13	1576
1787909169	57756	212044	43716	26624	20232	13	2326
1787909184	72440	230988	58332	33792	33004	13	3079
1787909199	88572	244812	74452	33792	33528	13	3831
1787909214	106332	265292	92192	33792	33724	13	4581
1787909229	123132	289868	108984	35840	31384	13	5250
1787909244	126004	289868	111856	35840	32232	13	5250
1787909259	127384	289868	113236	35840	32284	13	5250
1787909274	127920	289868	113772	35840	32520	13	5250
1787909289	128068	289868	113920	35840	32544	13	5250
1787909304	128144	289868	113996	35840	32484	13	5250
1787909319	128100	289868	113952	35840	32484	13	5250
1787909334	128068	289868	113920	35840	32556	13	5250
1787909349	128056	289868	113908	35840	32560	13	5250
1787909364	128056	289868	113908	35840	32556	13	5250
1787909379	128292	289868	114144	35840	32672	13	5250
1787909394	128252	289868	114104	35840	32672	13	5250
1787909409	128264	289868	114116	35840	32660	13	5250
1787909424	128148	289868	114000	35840	32660	13	5250
1787909440	128480	289868	114332	35840	32604	13	5250
1787909455	128236	289868	114088	35840	32592	13	5250
1787909470	128596	289868	114448	35840	32580	13	5250
1787909485	128460	289868	114312	35840	32524	13	5250
1787909500	128416	289868	114268	35840	32524	13	5250
1787909515	128332	289868	114184	35840	32524	13	5250
1787909530	128508	289868	114360	35840	32524	13	5250
1787909545	128536	289868	114388	35840	32512	13	5250
1787909560	128120	289868	113972	35840	32184	13	5250
1787909575	128572	289868	114424	35840	32616	13	5250
1787909590	128664	289868	114516	35840	32720	13	5250
1787909605	128520	289868	114372	35840	32540	13	5250
1787909620	128436	289868	114288	35840	32492	13	5250
1787909635	128320	289868	114172	35840	32492	13	5250
1787909650	128180	289868	114032	35840	32360	13	5250
1787909666	128240	289868	114092	35840	32460	13	5250
1787909681	128468	289868	114320	35840	32464	13	5250
1787909696	128508	289868	114360	35840	32476	13	5250
1787909711	128512	289868	114364	35840	32476	13	5250
1787909726	128548	289868	114400	35840	32512	13	5250
1787909741	128460	289868	114312	35840	32540	13	5250
1787909756	128532	289868	114384	35840	32556	13	5250
1787909771	128476	289868	114328	35840	32556	13	5250
1787909786	128292	289868	114144	35840	32556	13	5250
1787909801	128220	289868	114072	35840	32516	13	5250
1787909816	128096	289868	113948	35840	32416	13	5250
1787909831	127992	289868	113844	35840	32492	13	5250
1787909846	128064	289868	113916	35840	32544	13	5250
1787909861	127960	289868	113812	35840	32544	13	5250
1787909876	128140	289868	113992	35840	32524	13	5250
1787909891	128196	289868	114048	35840	32496	13	5250
1787909906	128260	289868	114112	35840	32544	13	5250
1787909922	128396	289868	114248	35840	32668	13	5250
1787909937	128324	289868	114176	35840	32628	13	5250
1787909952	128248	289868	114100	35840	32632	13	5250
1787909967	128192	289868	114044	35840	32612	13	5250
1787909982	128160	289868	114012	35840	32612	13	5250
1787909997	127932	289868	113784	35840	32388	13	5250
1787910012	127948	289868	113800	35840	32460	13	5250
1787910027	128084	289868	113936	35840	32488	13	5250
1787910042	128208	289868	114060	35840	32620	13	5250
1787910057	128644	289868	114496	35840	32632	13	5250
1787910072	128480	289868	114332	35840	32632	13	5250
1787910087	128540	289868	114392	35840	32456	13	5250
1787910102	128816	289868	114668	35840	32648	13	5250
1787910117	128776	289868	114628	35840	32648	13	5250
1787910132	128852	289868	114704	35840	32672	13	5250
1787910147	128760	289868	114612	35840	32640	13	5250
1787910162	128708	289868	114560	35840	32616	13	5250
1787910178	128652	289868	114504	35840	32592	13	5250
1787910193	128740	289868	114592	35840	32540	13	5250
1787910208	128808	289868	114660	35840	32540	13	5250
1787910223	128688	289868	114540	35840	32504	13	5250
1787910238	128736	289868	114588	35840	32504	13	5250
1787910253	128476	289868	114328	35840	32504	13	5250
1787910268	128552	289868	114404	35840	32500	13	5250
1787910283	128528	289868	114380	35840	32500	13	5250
1787910298	128460	289868	114312	35840	32500	13	5250
1787910313	128380	289868	114232	35840	32520	13	5250
1787910328	128508	289868	114360	35840	32520	13	5250
1787910343	128512	289868	114364	35840	32508	13	5250
1787910358	128508	289868	114360	35840	32508	13	5250
1787910373	128092	289868	113944	35840	32332	13	5250
1787910388	127820	289868	113672	35840	32312	13	5250
1787910403	127976	289868	113828	35840	32384	13	5250
1787910418	128012	289868	113864	35840	32384	13	5250
1787910433	128120	289868	113972	35840	32408	13	5250
1787910449	128244	289868	114096	35840	32408	13	5250
1787910464	128296	289868	114148	35840	32368	13	5250
1787910479	128368	289868	114220	35840	32432	13	5250
1787910494	128272	289868	114124	35840	32332	13	5250
1787910509	128064	289868	113916	35840	32344	13	5250
1787910524	127880	289868	113732	35840	32356	13	5250
1787910539	128012	289868	113864	35840	32356	13	5250
1787910554	127964	289868	113816	35840	32332	13	5250
1787910569	127936	289868	113788	35840	32572	13	5250
1787910584	128128	289868	113980	35840	32456	13	5250
1787910599	128108	289868	113960	35840	32488	13	5250
1787910614	128176	289868	114028	35840	32524	13	5250
1787910629	128448	289868	114300	35840	32540	13	5250
1787910644	128308	289868	114160	35840	32480	13	5250
1787910659	128372	289868	114224	35840	32480	13	5250
1787910674	128272	289868	114124	35840	32596	13	5250
1787910689	128296	289868	114148	35840	32596	13	5250
1787910704	128020	289868	113872	35840	32364	13	5250
1787910720	128192	289868	114044	35840	32372	13	5250
1787910735	128276	289868	114128	35840	32440	13	5250
1787910750	128248	289868	114100	35840	32384	13	5250
1787910765	128020	289868	113872	35840	32280	13	5250
1787910780	128324	289868	114176	35840	32436	13	5250
1787910795	128192	289868	114044	35840	32436	13	5250
1787910810	128308	289868	114168	35840	32436	13	5250
1787910825	127968	289868	113820	35840	32172	13	5250
1787910840	128524	289868	114376	35840	32388	13	5250
1787910855	128404	289868	114256	35840	32308	13	5250
1787910870	128536	289868	114388	35840	32396	13	5250
1787910885	128428	289868	114280	35840	32416	13	5250
1787910900	128492	289868	114344	35840	32420	13	5250
1787910915	128388	289868	114244	35840	32400	13	5250
1787910930	128468	289868	114320	35840	32400	13	5250
1787910945	128092	289868	113944	35840	32192	13	5250
1787910961	128312	289868	114164	35840	32336	13	5250
1787910976	128388	289868	114240	35840	32352	13	5250
1787910991	128512	289868	114368	35840	32360	13	5250
1787911006	128420	289868	114272	35840	32432	13	5250
1787911021	128192	289868	114044	35840	32248	13	5250
1787911036	128532	289868	114384	35840	32480	13	5250
1787911051	128440	289868	114292	35840	32476	13	5250
1787911066	128176	289868	114028	35840	32400	13	5250
1787911081	128380	289868	114232	35840	32408	13	5250
1787911096	128460	289868	114312	35840	32420	13	5250
1787911111	128456	289868	114308	35840	32296	13	5250
1787911126	128456	289868	114308	35840	32260	13	5250
1787911141	128376	289868	114228	35840	32256	13	5250
1787911156	128360	289868	114212	35840	32256	13	5250
1787911171	128280	289868	114132	35840	32256	13	5250
1787911186	128472	289868	114324	35840	32224	13	5250
1787911202	128604	289868	114456	35840	32292	13	5250
1787911217	128356	289868	114208	35840	32268	13	5250
1787911232	128908	289868	114760	35840	32412	13	5250
1787911247	128600	289868	114452	35840	32280	13	5250
1787911262	128472	289868	114324	35840	32348	13	5250
1787911277	128068	289868	113920	35840	32020	13	5250
1787911292	128112	289868	113964	35840	32040	13	5250
1787911307	127932	289868	113784	35840	32116	13	5250
1787911322	128108	289868	113960	35840	32196	13	5250
1787911337	128188	289868	114040	35840	32208	13	5250
1787911352	128180	289868	114032	35840	32208	13	5250
1787911367	128236	289868	114088	35840	32228	13	5250
1787911382	128216	289868	114068	35840	32220	13	5250
1787911397	128364	289868	114216	35840	32300	13	5250
1787911412	128348	289868	114200	35840	32456	13	5250
1787911427	128400	289868	114252	35840	32652	13	5250
1787911443	128528	289868	114380	35840	32648	13	5250
1787911458	128272	289868	114124	35840	32380	13	5250
1787911473	128492	289868	114344	35840	32380	13	5250
1787911488	128532	289868	114384	35840	32376	13	5250
1787911503	128212	289868	114064	35840	32264	13	5250
1787911518	128264	289868	114116	35840	32276	13	5250
1787911533	128120	289868	113972	35840	32272	13	5250
1787911548	128380	289868	114232	35840	32364	13	5250
1787911563	128108	289868	113960	35840	32412	13	5250
1787911578	128176	289868	114028	35840	32412	13	5250
1787911593	128216	289868	114068	35840	32416	13	5250
