# pid=107462 startedAt=2026-08-26T14:40:56.936692271Z
epoch	vmrss_kb	vmsize_kb	rssanon_kb	heap_virt_kb	heap_rss_kb	threads	est_tcp
1787755410	14908	136524	3184	8192	12	12	0
1787755425	14908	136524	3184	8192	12	12	0
1787755440	14908	136524	3184	8192	12	12	0
1787755455	14908	136524	3184	8192	12	12	0
1787755470	14908	136524	3184	8192	12	12	0
1787755485	14908	136524	3184	8192	12	12	0
1787755500	14908	136524	3184	8192	12	12	0
1787755515	14908	136524	3184	8192	12	12	0
1787755530	14908	136524	3184	8192	12	12	0
1787755545	14908	136524	3184	8192	12	12	0
1787755560	14908	136524	3184	8192	12	12	0
1787755575	14908	136524	3184	8192	12	12	0
1787755590	23596	183756	9672	14848	2364	13	205
1787755605	35328	191180	21336	21504	12824	13	957
1787755620	47496	205900	33408	35840	23920	13	1707
1787755635	60916	225356	46828	35840	28532	13	2458
1787755650	72916	233548	58764	35840	28704	13	3000
1787755666	76580	240716	62428	35840	28720	13	3000
1787755681	78628	240716	64476	35840	28688	13	3000
1787755696	79832	240716	65680	35840	28656	13	3000
1787755711	80740	240716	66588	35840	28552	13	3000
1787755726	81852	250956	67700	35840	28440	13	3000
1787755741	81960	250956	67808	35840	28256	13	3000
1787755756	82636	250956	68484	35840	28204	13	3000
1787755771	82348	250956	68196	35840	27980	13	3000
1787755786	82600	250956	68448	35840	27828	13	3000
1787755801	82424	250956	68272	35840	27628	13	3000
1787755816	82492	250956	68340	35840	27612	13	3000
1787755831	82708	250956	68556	35840	27532	13	3000
1787755846	82964	250956	68812	35840	27416	13	3000
1787755861	82912	250956	68760	35840	27364	13	3000
1787755876	82944	250956	68792	35840	27348	13	3000
1787755891	82900	250956	68748	35840	27348	13	3000
1787755906	83036	250956	68884	35840	27332	13	3000
1787755921	82856	250956	68704	35840	27252	13	3000
1787755936	83032	250956	68880	35840	27232	13	3000
1787755951	82992	250956	68840	35840	27224	13	3000
1787755966	83052	250956	68900	35840	27204	13	3000
1787755981	82696	250956	68544	35840	27160	13	3000
1787755996	82780	250956	68628	35840	27160	13	3000
1787756011	82628	250956	68476	35840	27116	13	3000
1787756027	82688	250956	68536	35840	27032	13	3000
1787756042	82392	250956	68240	35840	26992	13	3000
1787756057	82568	250956	68416	35840	26984	13	3000
1787756072	82388	250956	68236	35840	26944	13	3000
1787756087	82424	250956	68272	35840	26916	13	3000
1787756102	82624	250956	68472	35840	26916	13	3000
1787756117	82612	250956	68460	35840	26916	13	3000
1787756132	82656	250956	68504	35840	26916	13	3000
1787756147	82592	250956	68440	35840	26916	13	3000
1787756162	82580	250956	68428	35840	26896	13	3000
1787756177	82160	250956	68008	35840	26896	13	3000
1787756192	82192	250956	68040	35840	26888	13	3000
1787756207	82260	250956	68108	35840	26888	13	3000
1787756222	82320	250956	68168	35840	26888	13	3000
1787756237	82316	250956	68164	35840	26888	13	3000
1787756252	82500	250956	68356	35840	26888	13	3000
1787756267	82328	250956	68176	35840	26868	13	3000
1787756282	82264	250956	68112	35840	26868	13	3000
1787756297	82164	250956	68012	35840	26868	13	3000
1787756312	82180	250956	68028	35840	26864	13	3000
1787756327	82068	250956	67916	35840	26864	13	3000
1787756342	82096	250956	67944	35840	26860	13	3000
1787756358	82168	250956	68016	35840	26860	13	3000
1787756373	82172	250956	68020	35840	26860	13	3000
1787756388	82028	250956	67876	35840	26860	13	3000
1787756403	82100	250956	67948	35840	26860	13	3000
1787756418	82184	250956	68032	35840	26860	13	3000
1787756433	82004	250956	67852	35840	26860	13	3000
1787756448	81836	250956	67684	35840	26860	13	3000
1787756463	81860	250956	67708	35840	26860	13	3000
1787756478	82008	250956	67856	35840	26860	13	3000
1787756493	81980	250956	67828	35840	26860	13	3000
1787756508	81968	250956	67820	35840	26860	13	3000
1787756523	82012	250956	67860	35840	26860	13	3000
1787756538	81996	250956	67844	35840	26860	13	3000
1787756553	82080	250956	67928	35840	26860	13	3000
1787756568	81588	250956	67436	35840	26860	13	3000
1787756583	81876	250956	67724	35840	26860	13	3000
1787756598	81780	250956	67628	35840	26860	13	3000
1787756613	81972	250956	67820	35840	26860	13	3000
1787756628	82040	250956	67888	35840	26860	13	3000
1787756643	82108	250956	67956	35840	26860	13	3000
1787756658	82180	250956	68028	35840	26860	13	3000
1787756673	82076	250956	67924	35840	26860	13	3000
1787756688	82052	250956	67900	35840	26860	13	3000
1787756704	81948	250956	67796	35840	26860	13	3000
1787756719	81776	250956	67624	35840	26860	13	3000
1787756734	81856	250956	67704	35840	26860	13	3000
1787756749	81856	250956	67704	35840	26860	13	3000
1787756764	81940	250956	67788	35840	26860	13	3000
1787756779	82000	250956	67848	35840	26860	13	3000
1787756794	82052	250956	67900	35840	26860	13	3000
1787756809	81972	250956	67820	35840	26860	13	3000
1787756824	82036	250956	67884	35840	26860	13	3000
1787756839	81692	250956	67540	35840	26864	13	3000
1787756854	81660	250956	67508	35840	26864	13	3000
1787756869	81680	250956	67528	35840	26864	13	3000
1787756884	81704	250956	67552	35840	26864	13	3000
1787756899	81972	250956	67820	35840	26864	13	3000
1787756914	81944	250956	67792	35840	26864	13	3000
1787756929	81720	250956	67568	35840	26856	13	3000
1787756944	81796	250956	67644	35840	26856	13	3000
1787756959	81616	250956	67464	35840	26856	13	3000
1787756974	81744	250956	67592	35840	26856	13	3000
1787756989	81776	250956	67624	35840	26856	13	3000
1787757004	81768	250956	67616	35840	26856	13	3000
1787757019	81736	250956	67584	35840	26856	13	3000
1787757034	81684	250956	67532	35840	26856	13	3000
1787757050	81584	250956	67432	35840	26856	13	3000
1787757065	81500	250956	67348	35840	26856	13	3000
1787757080	81560	250956	67408	35840	26856	13	3000
1787757095	81724	250956	67572	35840	26856	13	3000
1787757110	81540	250956	67388	35840	26856	13	3000
1787757125	81576	250956	67424	35840	26856	13	3000
1787757140	81604	250956	67452	35840	26856	13	3000
1787757155	81612	250956	67460	35840	26856	13	3000
1787757170	81668	250956	67516	35840	26856	13	3000
1787757185	81924	250956	67772	35840	26856	13	3000
