# pid=100083 startedAt=2026-08-26T10:53:17.188305854Z
epoch	vmrss_kb	vmsize_kb	rssanon_kb	heap_virt_kb	heap_rss_kb	threads	est_tcp
1787741796	14984	136508	3172	8192	12	12	0
1787741811	14984	136508	3172	8192	12	12	0
1787741826	14984	136508	3172	8192	12	12	0
1787741841	14984	136508	3172	8192	12	12	0
1787741856	14984	136508	3172	8192	12	12	0
1787741871	14984	136508	3172	8192	12	12	0
1787741886	14984	136508	3172	8192	12	12	0
1787741901	14984	136508	3172	8192	12	12	0
1787741916	14984	136508	3172	8192	12	12	0
1787741931	14984	136508	3172	8192	12	12	0
1787741946	14984	136508	3172	8192	12	12	0
1787741961	14984	136508	3172	8192	12	12	0
1787741976	14984	136508	3172	8192	12	12	0
1787741991	14984	136508	3172	8192	12	12	0
1787742006	14984	136508	3172	8192	12	12	0
1787742021	14984	136508	3172	8192	12	12	0
1787742036	26428	180668	12452	17920	5112	13	394
1787742051	38028	194236	23992	24064	13972	13	1145
1787742066	50408	199740	36268	24064	16016	13	1896
1787742081	64488	219196	50356	24064	16976	13	2647
1787742096	75140	234556	61004	24064	17116	13	3000
1787742112	79880	234556	65744	24064	17152	13	3000
1787742127	83956	234556	69820	24064	17212	13	3000
1787742142	88332	242748	74196	24064	17268	13	3000
1787742157	92360	252988	78224	24064	17320	13	3000
1787742172	96312	252988	82176	24064	17376	13	3000
1787742187	100308	263228	86172	28672	12468	13	3000
1787742202	104264	263228	90128	28672	16388	13	3000
1787742217	108236	263228	94120	28672	20264	13	3000
1787742232	111852	263228	97716	28672	23752	13	3000
1787742247	116000	269372	101864	34816	27808	13	3000
1787742262	119652	287804	105516	53248	31460	13	3000
1787742277	123380	287804	109244	53248	35000	13	3000
1787742292	127204	287804	113068	53248	38796	13	3000
1787742307	130944	287804	116812	53248	42480	13	3000
1787742322	134776	287804	120640	53248	46100	13	3000
1787742337	138596	302140	124472	67584	49824	13	3000
1787742352	142160	302140	128024	67584	53340	13	3000
1787742367	146204	302140	132068	67584	57196	13	3000
1787742382	149768	302140	135632	67584	60928	13	3000
1787742397	153508	316476	139372	81920	64396	13	3000
1787742412	157004	316476	142868	81920	67808	13	3000
1787742428	161096	332860	146960	98304	71720	13	3000
1787742443	164648	332860	150512	98304	75244	13	3000
1787742458	168448	332860	154312	98304	78840	13	3000
1787742473	172240	332860	158104	98304	82524	13	3000
1787742488	175960	332860	161824	98304	86120	13	3000
1787742503	179184	332860	165064	98304	89404	13	3000
1787742518	183208	332860	169072	98304	93232	13	3000
1787742533	187036	353340	172908	118784	96956	13	3000
1787742548	190484	353340	176348	118784	100292	13	3000
1787742563	194256	375868	180120	141312	103932	13	3000
1787742578	198016	375868	183880	141312	107592	13	3000
1787742593	201912	375868	187776	141312	111332	13	3000
